"","ERR1474564","ERR1474565","ERR1474566","ERR1474567","ERR1474568","ERR1474569","ERR1474570","ERR1474571","ERR1474572","ERR1474574","ERR1474575","ERR1474576","ERR1474577","ERR1474578","ERR1474579","ERR1474580","ERR1474581","ERR1474582","ERR1474583","ERR1474584","ERR1474585","ERR1474586","ERR1474587","ERR589346","ERR589348","ERR589350","ERR589351","ERR589352","ERR589353","ERR589354","ERR589355","ERR589356","ERR589357","ERR589358","ERR589359","ERR589360","ERR589361","ERR589362","ERR589363","ERR589364","ERR589365","ERR589366","ERR589367","ERR589368","ERR589370","ERR589371","ERR589372","ERR589373","ERR589374","ERR589375","ERR589376","ERR589377","ERR589378","ERR589379","ERR589380","ERR589381","ERR589382","ERR589384","ERR589386","ERR589388","ERR589390","ERR589392","ERR589394","ERR589396","ERR589398","ERR589400","ERR589402","ERR589404","ERR589406","ERR589408","ERR589410","ERR589412","ERR589414","ERR589416","ERR589418","ERR589420","ERR589422","ERR589424","ERR589426","ERR589428","ERR589430","ERR589432","ERR589435","ERR589436","ERR589438","ERR589449","ERR589456","ERR589458","ERR589749","ERR589754","ERR589758","ERR589765","ERR589768","ERR589784","ERR589785","ERR589788","ERR589790","ERR589791","ERR589792","ERR589793","ERR589794","ERR589795","ERR589796","ERR589797","ERR589798","ERR589799","ERR589800","ERR589801","ERR589802","ERR589805","ERR589806","ERR589807","ERR589808","ERR589809","ERR589810","ERR589811","ERR589812","ERR589813","ERR589814","ERR589817","ERR589818","ERR589819","ERR589820","ERR589821","ERR589824","ERR589825","ERR589826","ERR589827","ERR589829","ERR589830","ERR589835","ERR589836","ERR589837","ERR589845","ERR589846","ERR589847","ERR589848","ERR589849","ERR589850","ERR589851","ERR589852","ERR589853","ERR589855","ERR589856","ERR589857","ERR589858","ERR589861","ERR589862","ERR589863","ERR589864","ERR589865","ERR589866","ERR589867","ERR589868","ERR589869","ERR589871","ERR589872","ERR589873","ERR589874","ERR589875"
"k__Bacteria",96.28376,86.71028,98.67201,99.59929,98.90359,99.1764,99.20276,98.65174,97.8013,91.85958,99.61131,95.9735,99.57623,99.412,94.50857,96.27569,99.35689,99.16657,99.65682,98.01833,99.41955,98.93302,99.33824,100,99.92988,99.95269,100,100,99.99676,99.7413,99.87933,99.98177,100,100,100,99.99688,100,99.9926,100,100,100,99.99838,100,99.95241,100,98.89503,100,99.98868,100,99.99896,100,100,100,100,99.9982,100,98.76753,99.57661,98.69217,99.98997,99.99226,99.74274,97.52092,99.74131,98.25316,99.16388,97.57691,99.02947,98.83798,99.89072,99.72645,99.99589,98.73986,97.39149,97.89946,99.64665,98.47974,99.80752,99.99417,99.51122,99.93042,96.6868,96.6907,94.75283,99.95993,99.60296,96.85227,98.3788,99.99795,99.90796,99.94347,89.93998,99.96011,99.99859,100,97.4214,96.45113,99.99865,99.63376,99.995,99.99278,99.74919,99.99128,100,100,100,100,100,83.4966,99.89929,100,100,99.99079,100,95.08659,100,84.56892,94.27477,99.99726,100,100,99.83774,99.99767,99.99359,100,99.99409,94.24614,99.78736,100,99.96392,99.65049,98.46716,99.99028,100,99.83619,100,99.99662,100,99.67532,99.94079,99.99851,100,99.25319,100,100,99.99855,99.99696,100,100,100,100,99.96318,100,100,100,99.99384,99.9867,99.98533,92.91108,99.99861
"k__Viruses",3.71624,12.93212,1.32799,0.40071,1.09315,0.8236,0.79724,1.34826,2.1987,8.14042,0.38869,4.0265,0.42377,0.25199,5.49143,3.7068,0.60621,0.83343,0.34318,1.98167,0.57905,1.06236,0.65001,0,0.05716,0.04569,0,0,0.00324,0.2587,0.12067,0,0,0,0,0,0,0.0074,0,0,0,0.00162,0,0.04759,0,1.10497,0,0,0,0.00104,0,0,0,0,0.0018,0,1.22687,0.41808,1.30783,0.00909,0,0.24985,2.41353,0.24965,1.73567,0.82793,2.42178,0.96166,1.15446,0.10882,0.25439,0,1.25764,2.60798,2.09869,0.35279,1.51314,0.18822,0.00502,0.42794,0.06182,3.31221,3.3093,5.24115,0.03044,0.39704,3.14386,1.61426,0.00205,0,0.05653,10.06002,0.03989,0,0,2.5786,0,0,0.36624,0,0,0.25081,0,0,0,0,0,0,16.5034,0.10071,0,0,0,0,4.91341,0,15.43108,0,0,0,0,0.16009,0,0,0,0,1.46655,0.21264,0,0.02238,0.34361,1.52622,0.00146,0,0,0,0.00338,0,0,0.05921,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076,0.01467,0,0
"k__Bacteria|p__Proteobacteria",46.88906,17.60165,50.51934,23.13888,14.75002,26.77508,9.29433,56.26993,16.44191,28.66747,33.02885,23.99311,7.21935,38.603,7.67044,11.7824,39.98227,33.60455,19.26612,29.24167,39.35848,7.07316,21.28467,26.57094,13.46455,7.71334,8.07457,3.57602,11.05392,32.18987,39.97121,1.55069,16.54904,9.73493,6.10929,5.29911,26.97585,4.33721,12.66873,1.44146,8.22191,13.88884,12.28376,6.91415,8.1991,16.71303,54.78085,23.63071,22.684,4.28296,10.57934,7.13111,8.82146,9.53534,7.92889,29.54983,20.21013,6.03707,46.80047,19.49119,44.81727,8.906,18.55632,4.65684,10.03561,25.93273,19.58701,14.6814,18.46329,32.23389,18.4259,43.91365,27.31918,8.17226,16.38323,4.0076,35.74207,5.60234,52.15822,27.32045,25.57041,11.39123,12.90163,5.3372,20.86483,5.56435,17.08813,19.4408,5.3773,1.87845,3.05678,1.1967,1.79843,3.56412,5.37919,16.28638,1.48037,9.48714,0.93432,0.21235,1.90826,2.94395,0.61122,1.00065,4.73924,2.0896,1.64235,6.04979,5.48507,6.46343,1.40876,0.22417,30.60055,0.72517,3.67387,0.17797,1.10006,1.26579,2.00367,20.39197,2.1855,0.65997,9.05019,5.37796,1.51017,3.10632,10.04322,20.59726,3.37477,6.08232,9.68136,7.86687,4.41712,9.37768,1.25378,11.01681,3.0527,3.01064,3.34359,1.07191,3.04534,3.68069,2.00686,10.19947,9.20891,0.64674,3.11251,2.74946,0.78523,15.67794,1.06817,1.40841,4.68892,4.15754,2.09027,2.03026,7.52147,15.30236,3.35427,2.86273
"k__Bacteria|p__Firmicutes",30.23434,33.50745,19.32836,27.82131,36.98664,31.04522,40.24251,11.07898,33.03402,31.1376,25.76393,44.53281,38.61848,26.98585,31.81197,56.34473,21.37137,23.97919,22.0121,19.89708,28.68408,41.23451,31.58383,8.5757,54.0506,50.73437,35.84473,28.43703,31.62189,15.81197,20.30942,52.38987,24.92268,45.78064,17.95335,42.26512,7.43601,43.71707,21.46802,43.35087,23.08509,8.44224,35.56058,9.53192,27.1701,31.15806,11.93942,23.12733,30.69503,32.33827,39.88594,34.78817,15.71242,15.67743,34.23968,32.12028,44.44088,48.54812,26.66331,48.26572,29.24451,48.24835,43.14629,54.72923,51.45279,35.41736,45.91271,34.99071,43.44862,29.82502,26.91166,23.96867,23.71116,51.46942,42.6605,59.05273,29.17009,53.97844,25.78298,31.85296,25.92215,44.73264,48.08815,51.68011,32.80303,21.03285,44.38696,39.07484,49.75735,81.84693,77.43472,82.47368,66.77722,49.24836,41.78315,33.90427,75.87248,60.7912,78.97456,82.43228,67.67057,46.99435,84.867,64.92451,57.91023,42.28742,76.63674,57.76393,62.32515,74.1878,36.83207,65.4474,54.37152,42.8671,35.38428,63.97138,36.06175,29.1106,67.07551,34.60697,32.46999,68.37962,71.37865,81.18972,72.70657,75.13192,54.53344,38.13193,44.13758,52.50033,53.36946,32.26363,70.03073,38.45012,52.11667,38.71591,29.78257,65.50015,53.46684,19.69277,71.60239,49.35721,22.21912,26.11099,27.94004,52.75387,46.04558,21.71527,27.03303,38.17943,60.25768,59.7795,17.5949,18.19576,44.67502,51.14103,37.38465,82.1694,20.12037,36.91895
"k__Bacteria|p__Bacteroidetes",9.46516,24.58723,18.21096,35.60362,29.08177,25.54933,32.06483,20.50886,35.39307,15.83895,29.1376,17.67351,46.14949,22.45112,48.00265,9.52841,19.58888,17.96238,31.60495,36.7672,12.91343,40.79021,29.03721,24.09504,5.51668,8.5564,9.37491,2.84894,4.40804,8.76388,10.01361,5.37005,8.19075,9.21452,7.10329,11.33234,8.45503,21.45323,6.13338,3.88181,5.78899,3.06899,5.2739,7.39895,6.82856,9.29246,6.94194,18.90767,9.2554,2.25673,15.98302,18.16794,6.19943,6.01509,7.18944,7.49211,8.56523,8.93499,8.69507,6.01642,7.2825,9.80435,15.40298,13.65772,10.55571,10.3016,11.83545,5.95368,5.05491,13.0316,16.10817,12.0295,10.9433,19.13767,6.96955,11.22758,14.01428,7.35757,6.72998,12.5216,10.89404,15.7761,16.53581,11.92273,28.56847,2.56855,6.13565,11.29554,33.01878,11.32991,15.52969,4.05489,17.47723,43.73195,51.48974,40.63125,4.66696,27.04484,8.99939,15.73909,7.90703,46.94248,1.33943,18.2277,32.99251,53.21323,15.0321,35.67791,12.04918,16.75098,56.94095,27.48448,12.37896,40.55279,51.61261,22.77333,46.01103,41.88314,24.57903,43.97466,59.93854,25.94266,17.89167,9.65965,24.31893,13.2743,24.99337,26.50305,49.6669,35.31139,35.61249,31.96389,25.26806,51.20997,46.30728,49.8943,65.54339,28.5938,42.30085,78.91213,24.38985,43.38288,73.66569,62.69815,59.19845,42.33015,49.48691,64.62509,57.05855,44.98684,37.96804,37.93171,76.82456,76.48499,52.98388,43.95367,38.65666,2.43946,37.39553,59.76914
"k__Bacteria|p__Actinobacteria",6.57823,6.10444,2.52994,5.84326,15.93782,8.9634,15.67163,8.7826,6.58096,5.13006,5.114,4.4563,6.16126,3.66427,2.27598,10.43013,10.96945,17.50221,17.29396,5.7757,12.81184,8.26451,10.97178,17.95201,24.10288,28.00583,37.82114,55.30688,37.33841,18.49805,19.50296,30.53635,34.16952,15.72382,59.21248,26.0436,23.02587,24.11285,27.56876,35.62451,37.99078,73.48392,19.94911,64.41583,51.9597,24.22836,22.23745,18.83677,22.19372,49.87588,18.11223,21.0065,58.29307,59.76817,22.73192,10.72986,20.81121,33.94342,15.7339,23.37266,16.06111,28.49693,14.81545,23.70572,24.44037,22.53461,17.79031,42.10861,29.75588,20.96393,36.34845,18.03708,34.35364,15.61693,30.68045,23.39318,17.27417,31.63742,13.241,24.85243,36.6395,22.25556,18.22246,21.58865,14.80632,62.83748,27.02243,26.16102,11.80193,4.39044,3.92226,1.75456,13.88442,3.45417,1.34309,6.55634,14.31803,2.61806,5.16799,1.56328,10.07823,2.86543,13.16619,6.79384,0.79666,2.26919,6.32506,0.49304,3.61076,2.49579,4.81822,6.76514,2.58483,15.85353,3.41437,1.40334,1.38566,4.02939,5.19846,1.0264,3.8752,0.53365,0.66791,3.70945,1.42332,8.47955,4.64908,13.90796,2.77451,0.43685,0.72569,26.37278,0.27436,0,0.14483,0.37298,0.91142,0.18874,0.47097,0.26398,0.94726,3.55141,0.07116,0.53073,3.59304,0.06531,1.33803,7.41283,1.96999,0.15543,0.70242,0.8272,0.69887,1.11904,0.19538,2.85354,16.41418,0.00101,2.42771,0.4399
"k__Viruses|p__Viruses_noname",3.71624,12.93212,1.32799,0.40071,1.09315,0.8236,0.79724,1.34826,2.1987,8.14042,0.38869,4.0265,0.42377,0.25199,5.49143,3.7068,0.60621,0.83343,0.34318,1.98167,0.57905,1.06236,0.65001,0,0.05716,0.04569,0,0,0.00324,0.2587,0.12067,0,0,0,0,0,0,0.0074,0,0,0,0.00162,0,0.04759,0,1.10497,0,0,0,0.00104,0,0,0,0,0.0018,0,1.22687,0.41808,1.30783,0.00909,0,0.24985,2.41353,0.24965,1.73567,0.82793,2.42178,0.96166,1.15446,0.10882,0.25439,0,1.25764,2.60798,2.09869,0.35279,1.51314,0.18822,0.00502,0.42794,0.06182,3.31221,3.3093,5.24115,0.03044,0.39704,3.14386,1.61426,0.00205,0,0.05653,10.06002,0.03989,0,0,2.5786,0,0,0.36624,0,0,0.25081,0,0,0,0,0,0,16.5034,0.10071,0,0,0,0,4.91341,0,15.43108,0,0,0,0,0.16009,0,0,0,0,1.46655,0.21264,0,0.02238,0.34361,1.52622,0.00146,0,0,0,0.00338,0,0,0.05921,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076,0.01467,0,0
"k__Bacteria|p__Fusobacteria",2.56653,3.86721,5.78702,4.99771,1.71364,4.1703,1.71673,1.26452,3.70209,6.61846,5.85849,4.38088,0.97259,6.49655,2.96721,7.46259,5.18951,4.4945,5.5767,4.56177,5.4884,1.37139,5.23428,17.37478,2.38371,2.61034,4.62763,4.00837,10.72646,4.84441,4.63235,5.58716,8.72415,5.63536,4.90309,5.20345,2.14524,3.83931,5.2994,1.64202,6.70925,0.41921,5.3725,3.71457,3.90744,11.6299,2.43231,9.49437,7.88917,4.82233,5.39287,9.67128,4.60774,1.37962,18.65275,5.8965,4.28025,1.52326,0.49462,2.22602,1.30537,1.86732,2.61798,1.41732,1.42275,1.27414,1.31988,0.71425,2.02979,3.56493,0.70308,0.83366,0.92847,2.50953,0.58579,1.83606,1.88267,1.02745,1.29627,1.29832,0.63716,2.12488,0.68874,2.03865,1.69108,1.54154,1.38725,1.99659,0.0031,0.41137,0,0.22986,0.00353,0,0.00483,0.04316,0,0.05741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185,0.00798,0,0,0,0.9558,0,0,0,2.70527,0,0,0.0103,0.02433,0,0.44456,0.04953,0,0,0,0,0.01775,0,0.01635,0.18904,0,0,0,0,0.07074,0.02114,0.00115
"k__Bacteria|p__Spirochaetes",0.33574,0.30112,1.51288,0.92746,0.27146,1.12882,0.01206,0.55815,1.15187,0.78387,0.34657,0.35211,0.4206,0.74524,1.2407,0.32043,1.43187,0.8499,2.91347,1.00577,0.0745,0.13626,0.72992,1.03343,0.10153,0.13942,0.26756,1.43552,0.31778,1.4619,0.16664,2.46612,2.05458,0.80929,0.21999,3.62865,0.0548,1.16688,0.01062,0.13795,1.00437,0.06334,1.15523,0.48298,0.4248,1.03722,0.14449,3.68207,1.84516,0.03135,4.79375,3.59039,0.42846,0.0417,2.21244,1.46878,0.20515,0.20957,0.05002,0.41054,0.45733,1.05502,1.80977,0.9778,0.26589,0.74669,0.30073,0.1294,0.01402,0.11432,0.19462,0.54338,0.78745,0.36223,0.17595,0.01806,0.09706,0.09173,0.4577,0.66468,0.17469,0.26177,0.18526,1.18745,0.61189,0.0213,0.15394,0.17562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria",0.20784,0.35137,0.49515,1.19972,0.14919,1.50043,0.19525,0.17462,1.49739,3.68318,0.36188,0.56295,0.02822,0.46597,0.53963,0.2862,0.82353,0.74902,0.90897,0.70391,0.07427,0.06006,0.34472,4.36666,0.30272,2.18758,3.98307,3.95233,4.38456,18.05602,5.27639,0.84526,4.68506,12.97758,4.37206,4.80522,31.90579,1.21481,26.8501,13.90073,16.99543,0.60915,20.26621,7.47704,1.44544,4.50949,1.50401,1.71621,5.18177,6.38232,4.71119,5.4834,5.80716,7.57671,6.62169,12.56411,0.23469,0.35875,0.24932,0.12975,0.81558,1.11058,0.38497,0.28312,0.05089,2.87776,0.75421,0.42781,0.05251,0.10489,0.91491,0.4197,0.62015,0.06086,0.37378,0.10286,0.21235,0.09614,0.24673,0.88334,0.04646,0.1144,0.04651,0.87788,0.55621,6.03691,0.65881,0.11617,0.00087,0.03019,0,0,0.00805,0,0,0,0.00408,0,0.03062,0.01282,0.01072,0,0.00652,0.00232,0,0,0.00892,0.01532,0.02539,0.00131,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.00367,0.04431,0.01717,0.00201,0.01688,7e-04,0,0,0,0,0,0.00644,0,0,0,0.0014,0,0,0,0.00244,0,0.01335,0,0,0.00094,0,0,0,0.00368,0,0,0,0,0.00289,0,0,0,0
